Number of Records,SpecimenCetagory,positiveSpecimen#,Total # Tested,Week
1,A (H1N1)pdm09,13,990,201740
1,A (H1N1)pdm09,14,988,201741
1,A (H1N1)pdm09,14,1179,201742
1,A (H1N1)pdm09,26,1334,201743
1,A (H1N1)pdm09,23,1474,201744
1,A (H1N1)pdm09,28,1503,201745
1,A (H1N1)pdm09,56,1808,201746
1,A (H1N1)pdm09,41,1556,201747
1,A (H1N1)pdm09,61,2248,201748
1,A (H1N1)pdm09,68,2516,201749
1,A (H1N1)pdm09,127,3174,201750
1,A (H1N1)pdm09,209,4296,201751
1,A (H1N1)pdm09,245,4734,201752
1,A (H1N1)pdm09,254,5261,201801
1,A (H1N1)pdm09,273,5200,201802
1,A (H1N1)pdm09,255,3931,201803
1,A (H1N1)pdm09,189,2660,201804
1,A(H3),121,990,201740
1,A(H3),142,988,201741
1,A(H3),173,1179,201742
1,A(H3),173,1334,201743
1,A(H3),240,1474,201744
1,A(H3),314,1503,201745
1,A(H3),398,1808,201746
1,A(H3),482,1556,201747
1,A(H3),752,2248,201748
1,A(H3),960,2516,201749
1,A(H3),1343,3174,201750
1,A(H3),2197,4296,201751
1,A(H3),2530,4734,201752
1,A(H3),2761,5261,201801
1,A(H3),2681,5200,201802
1,A(H3),1784,3931,201803
1,A(H3),1017,2660,201804
1,A(H3N2v),1,990,201740
1,A(H3N2v),0,988,201741
1,A(H3N2v),0,1179,201742
1,A(H3N2v),0,1334,201743
1,A(H3N2v),0,1474,201744
1,A(H3N2v),0,1503,201745
1,A(H3N2v),0,1808,201746
1,A(H3N2v),0,1556,201747
1,A(H3N2v),1,2248,201748
1,A(H3N2v),0,2516,201749
1,A(H3N2v),0,3174,201750
1,A(H3N2v),0,4296,201751
1,A(H3N2v),0,4734,201752
1,A(H3N2v),0,5261,201801
1,A(H3N2v),0,5200,201802
1,A(H3N2v),0,3931,201803
1,A(H3N2v),0,2660,201804
1,A(Subtyping not performed),3,990,201740
1,A(Subtyping not performed),1,988,201741
1,A(Subtyping not performed),0,1179,201742
1,A(Subtyping not performed),4,1334,201743
1,A(Subtyping not performed),2,1474,201744
1,A(Subtyping not performed),1,1503,201745
1,A(Subtyping not performed),2,1808,201746
1,A(Subtyping not performed),0,1556,201747
1,A(Subtyping not performed),10,2248,201748
1,A(Subtyping not performed),7,2516,201749
1,A(Subtyping not performed),14,3174,201750
1,A(Subtyping not performed),39,4296,201751
1,A(Subtyping not performed),23,4734,201752
1,A(Subtyping not performed),32,5261,201801
1,A(Subtyping not performed),74,5200,201802
1,A(Subtyping not performed),62,3931,201803
1,A(Subtyping not performed),74,2660,201804
1,A(unable to sub-type),0,990,201740
1,A(unable to sub-type),0,988,201741
1,A(unable to sub-type),0,1179,201742
1,A(unable to sub-type),0,1334,201743
1,A(unable to sub-type),0,1474,201744
1,A(unable to sub-type),0,1503,201745
1,A(unable to sub-type),0,1808,201746
1,A(unable to sub-type),0,1556,201747
1,A(unable to sub-type),0,2248,201748
1,A(unable to sub-type),0,2516,201749
1,A(unable to sub-type),0,3174,201750
1,A(unable to sub-type),0,4296,201751
1,A(unable to sub-type),0,4734,201752
1,A(unable to sub-type),0,5261,201801
1,A(unable to sub-type),0,5200,201802
1,A(unable to sub-type),0,3931,201803
1,A(unable to sub-type),0,2660,201804
1,Bvic,0,990,201740
1,Bvic,4,988,201741
1,Bvic,1,1179,201742
1,Bvic,1,1334,201743
1,Bvic,3,1474,201744
1,Bvic,4,1503,201745
1,Bvic,4,1808,201746
1,Bvic,5,1556,201747
1,Bvic,8,2248,201748
1,Bvic,14,2516,201749
1,Bvic,30,3174,201750
1,Bvic,35,4296,201751
1,Bvic,28,4734,201752
1,Bvic,32,5261,201801
1,Bvic,27,5200,201802
1,Bvic,19,3931,201803
1,Bvic,13,2660,201804
1,Byam,16,990,201740
1,Byam,11,988,201741
1,Byam,11,1179,201742
1,Byam,20,1334,201743
1,Byam,32,1474,201744
1,Byam,30,1503,201745
1,Byam,59,1808,201746
1,Byam,58,1556,201747
1,Byam,95,2248,201748
1,Byam,86,2516,201749
1,Byam,157,3174,201750
1,Byam,203,4296,201751
1,Byam,302,4734,201752
1,Byam,369,5261,201801
1,Byam,348,5200,201802
1,Byam,294,3931,201803
1,Byam,201,2660,201804
1,B,5,990,201740
1,B,6,988,201741
1,B,2,1179,201742
1,B,8,1334,201743
1,B,17,1474,201744
1,B,12,1503,201745
1,B,34,1808,201746
1,B,12,1556,201747
1,B,27,2248,201748
1,B,38,2516,201749
1,B,42,3174,201750
1,B,96,4296,201751
1,B,104,4734,201752
1,B,168,5261,201801
1,B,128,5200,201802
1,B,119,3931,201803
1,B,103,2660,201804
