Age Group,Number of Records,InfluenzaDisease,InfluenzaDiseaseCount,Week,Year
0-4 yr,1,A (H1N1)pdm09,2,40,2017
0-4 yr,1,A (H1N1)pdm09,4,41,2017
0-4 yr,1,A (H1N1)pdm09,4,42,2017
0-4 yr,1,A (H1N1)pdm09,7,43,2017
0-4 yr,1,A (H1N1)pdm09,5,44,2017
0-4 yr,1,A (H1N1)pdm09,3,45,2017
0-4 yr,1,A (H1N1)pdm09,12,46,2017
0-4 yr,1,A (H1N1)pdm09,10,47,2017
0-4 yr,1,A (H1N1)pdm09,5,48,2017
0-4 yr,1,A (H1N1)pdm09,9,49,2017
0-4 yr,1,A (H1N1)pdm09,18,50,2017
0-4 yr,1,A (H1N1)pdm09,22,51,2017
0-4 yr,1,A (H1N1)pdm09,23,52,2017
0-4 yr,1,A (H1N1)pdm09,42,1,2018
0-4 yr,1,A (H1N1)pdm09,36,2,2018
0-4 yr,1,A (H1N1)pdm09,58,3,2018
0-4 yr,1,A (H1N1)pdm09,61,4,2018
0-4 yr,1,A (H1N1)pdm09,68,5,2018
0-4 yr,1,A (H1N1)pdm09,58,6,2018
0-4 yr,1,A (H1N1)pdm09,39,7,2018
0-4 yr,1,A (H1N1)pdm09,14,8,2018
5-24 yr,1,A (H1N1)pdm09,3,40,2017
5-24 yr,1,A (H1N1)pdm09,3,41,2017
5-24 yr,1,A (H1N1)pdm09,4,42,2017
5-24 yr,1,A (H1N1)pdm09,12,43,2017
5-24 yr,1,A (H1N1)pdm09,10,44,2017
5-24 yr,1,A (H1N1)pdm09,6,45,2017
5-24 yr,1,A (H1N1)pdm09,27,46,2017
5-24 yr,1,A (H1N1)pdm09,8,47,2017
5-24 yr,1,A (H1N1)pdm09,13,48,2017
5-24 yr,1,A (H1N1)pdm09,19,49,2017
5-24 yr,1,A (H1N1)pdm09,43,50,2017
5-24 yr,1,A (H1N1)pdm09,45,51,2017
5-24 yr,1,A (H1N1)pdm09,55,52,2017
5-24 yr,1,A (H1N1)pdm09,39,1,2018
5-24 yr,1,A (H1N1)pdm09,71,2,2018
5-24 yr,1,A (H1N1)pdm09,73,3,2018
5-24 yr,1,A (H1N1)pdm09,139,4,2018
5-24 yr,1,A (H1N1)pdm09,151,5,2018
5-24 yr,1,A (H1N1)pdm09,125,6,2018
5-24 yr,1,A (H1N1)pdm09,84,7,2018
5-24 yr,1,A (H1N1)pdm09,21,8,2018
25-64 yr,1,A (H1N1)pdm09,6,40,2017
25-64 yr,1,A (H1N1)pdm09,5,41,2017
25-64 yr,1,A (H1N1)pdm09,3,42,2017
25-64 yr,1,A (H1N1)pdm09,5,43,2017
25-64 yr,1,A (H1N1)pdm09,2,44,2017
25-64 yr,1,A (H1N1)pdm09,10,45,2017
25-64 yr,1,A (H1N1)pdm09,10,46,2017
25-64 yr,1,A (H1N1)pdm09,17,47,2017
25-64 yr,1,A (H1N1)pdm09,21,48,2017
25-64 yr,1,A (H1N1)pdm09,26,49,2017
25-64 yr,1,A (H1N1)pdm09,44,50,2017
25-64 yr,1,A (H1N1)pdm09,115,51,2017
25-64 yr,1,A (H1N1)pdm09,120,52,2017
25-64 yr,1,A (H1N1)pdm09,133,1,2018
25-64 yr,1,A (H1N1)pdm09,157,2,2018
25-64 yr,1,A (H1N1)pdm09,148,3,2018
25-64 yr,1,A (H1N1)pdm09,188,4,2018
25-64 yr,1,A (H1N1)pdm09,163,5,2018
25-64 yr,1,A (H1N1)pdm09,156,6,2018
25-64 yr,1,A (H1N1)pdm09,125,7,2018
25-64 yr,1,A (H1N1)pdm09,39,8,2018
65+ yr,1,A (H1N1)pdm09,2,40,2017
65+ yr,1,A (H1N1)pdm09,0,41,2017
65+ yr,1,A (H1N1)pdm09,1,42,2017
65+ yr,1,A (H1N1)pdm09,0,43,2017
65+ yr,1,A (H1N1)pdm09,2,44,2017
65+ yr,1,A (H1N1)pdm09,0,45,2017
65+ yr,1,A (H1N1)pdm09,3,46,2017
65+ yr,1,A (H1N1)pdm09,1,47,2017
65+ yr,1,A (H1N1)pdm09,20,48,2017
65+ yr,1,A (H1N1)pdm09,9,49,2017
65+ yr,1,A (H1N1)pdm09,13,50,2017
65+ yr,1,A (H1N1)pdm09,32,51,2017
65+ yr,1,A (H1N1)pdm09,47,52,2017
65+ yr,1,A (H1N1)pdm09,56,1,2018
65+ yr,1,A (H1N1)pdm09,60,2,2018
65+ yr,1,A (H1N1)pdm09,47,3,2018
65+ yr,1,A (H1N1)pdm09,68,4,2018
65+ yr,1,A (H1N1)pdm09,60,5,2018
65+ yr,1,A (H1N1)pdm09,44,6,2018
65+ yr,1,A (H1N1)pdm09,37,7,2018
65+ yr,1,A (H1N1)pdm09,13,8,2018
0-4 yr,1,B (Lineage Unspecified),0,40,2017
0-4 yr,1,B (Lineage Unspecified),2,41,2017
0-4 yr,1,B (Lineage Unspecified),1,42,2017
0-4 yr,1,B (Lineage Unspecified),0,43,2017
0-4 yr,1,B (Lineage Unspecified),0,44,2017
0-4 yr,1,B (Lineage Unspecified),0,45,2017
0-4 yr,1,B (Lineage Unspecified),2,46,2017
0-4 yr,1,B (Lineage Unspecified),2,47,2017
0-4 yr,1,B (Lineage Unspecified),0,48,2017
0-4 yr,1,B (Lineage Unspecified),2,49,2017
0-4 yr,1,B (Lineage Unspecified),0,50,2017
0-4 yr,1,B (Lineage Unspecified),5,51,2017
0-4 yr,1,B (Lineage Unspecified),2,52,2017
0-4 yr,1,B (Lineage Unspecified),2,1,2018
0-4 yr,1,B (Lineage Unspecified),5,2,2018
0-4 yr,1,B (Lineage Unspecified),6,3,2018
0-4 yr,1,B (Lineage Unspecified),11,4,2018
0-4 yr,1,B (Lineage Unspecified),16,5,2018
0-4 yr,1,B (Lineage Unspecified),22,6,2018
0-4 yr,1,B (Lineage Unspecified),10,7,2018
0-4 yr,1,B (Lineage Unspecified),4,8,2018
5-24 yr,1,B (Lineage Unspecified),0,40,2017
5-24 yr,1,B (Lineage Unspecified),0,41,2017
5-24 yr,1,B (Lineage Unspecified),0,42,2017
5-24 yr,1,B (Lineage Unspecified),2,43,2017
5-24 yr,1,B (Lineage Unspecified),8,44,2017
5-24 yr,1,B (Lineage Unspecified),5,45,2017
5-24 yr,1,B (Lineage Unspecified),11,46,2017
5-24 yr,1,B (Lineage Unspecified),3,47,2017
5-24 yr,1,B (Lineage Unspecified),5,48,2017
5-24 yr,1,B (Lineage Unspecified),14,49,2017
5-24 yr,1,B (Lineage Unspecified),17,50,2017
